state_name,year,month,temp_mean,temp_max,rainfall_mm,n_fires
Australian Capital Territory,1997,10,12.880645161290323,4.7,NA,NA
Australian Capital Territory,1997,11,18.241666666666667,9.879999999999999,NA,NA
Australian Capital Territory,1997,12,21.34516129032258,13.129032258064516,NA,NA
Australian Capital Territory,1998,1,21.808064516129033,14.116129032258064,NA,NA
Australian Capital Territory,1998,2,21.925,13.560714285714285,NA,NA
Australian Capital Territory,1998,3,19.122580645161293,10.187096774193549,NA,NA
Australian Capital Territory,1998,4,14.611666666666668,8.13,NA,NA
Australian Capital Territory,1998,5,10.146774193548387,4.561290322580645,NA,NA
Australian Capital Territory,1998,6,6.865,1.35,NA,NA
Australian Capital Territory,1998,7,5.47741935483871,-0.1225806451612903,NA,NA
Australian Capital Territory,1998,8,8.65967741935484,3.629032258064516,NA,NA
Australian Capital Territory,1998,9,11.058333333333334,4.973333333333334,NA,NA
Australian Capital Territory,1998,10,11.474193548387095,4.864516129032258,NA,NA
Australian Capital Territory,1998,11,14.096666666666668,7.42,NA,NA
Australian Capital Territory,1998,12,19.701612903225808,11.841935483870968,NA,NA
Australian Capital Territory,1999,1,22.316129032258065,15.380645161290323,NA,NA
Australian Capital Territory,1999,2,19.23392857142857,12.310714285714285,NA,NA
Australian Capital Territory,1999,3,18.058064516129033,11.219354838709677,NA,NA
Australian Capital Territory,1999,4,11.873333333333333,5.203333333333333,NA,NA
Australian Capital Territory,1999,5,9.75,2.003225806451613,NA,NA
Australian Capital Territory,1999,6,6.2955747126436785,-0.16551724137931037,NA,NA
Australian Capital Territory,1999,7,6.419354838709678,-0.14516129032258057,NA,NA
Australian Capital Territory,1999,8,7.188709677419355,-0.22580645161290325,NA,NA
Australian Capital Territory,1999,9,10.376666666666667,3.1133333333333333,NA,NA
Australian Capital Territory,1999,10,13.258064516129032,7.080645161290322,NA,NA
Australian Capital Territory,1999,11,13.243333333333334,5.94,NA,NA
Australian Capital Territory,1999,12,17.52741935483871,10.538709677419355,NA,NA
Australian Capital Territory,2000,1,17.529032258064515,10.583870967741936,NA,NA
Australian Capital Territory,2000,2,21.20862068965517,13.527586206896551,NA,NA
Australian Capital Territory,2000,3,19.29032258064516,13.067741935483872,NA,NA
Australian Capital Territory,2000,4,12.975,5.676666666666667,NA,NA
Australian Capital Territory,2000,5,8.820967741935483,2.5483870967741935,NA,NA
Australian Capital Territory,2000,6,5.533333333333333,-1.29,NA,NA
Australian Capital Territory,2000,7,5.674193548387097,-0.4870967741935484,NA,NA
Australian Capital Territory,2000,8,6.735483870967742,0.34838709677419355,NA,NA
Australian Capital Territory,2000,9,10.55,3.6033333333333335,NA,NA
Australian Capital Territory,2000,10,12.070967741935485,5.506451612903226,NA,NA
Australian Capital Territory,2000,11,16.838333333333335,11.146666666666667,NA,NA
Australian Capital Territory,2000,12,19.77741935483871,11.758064516129032,NA,NA
Australian Capital Territory,2001,1,22.737096774193546,14.44516129032258,NA,NA
Australian Capital Territory,2001,2,21.64107142857143,14.725,NA,NA
Australian Capital Territory,2001,3,16.72258064516129,10.032258064516128,NA,NA
Australian Capital Territory,2001,4,13.551666666666666,5.56,NA,NA
Australian Capital Territory,2001,5,8.595161290322581,0.3,NA,NA
Australian Capital Territory,2001,6,6.911666666666666,-0.41000000000000003,NA,NA
Australian Capital Territory,2001,7,6.5256989247311825,0.15806451612903227,NA,NA
Australian Capital Territory,2001,8,7.079032258064516,0.6903225806451613,NA,NA
Australian Capital Territory,2001,9,11.226666666666667,3.8433333333333333,NA,NA
Australian Capital Territory,2001,10,11.780645161290323,4.6967741935483875,NA,NA
Australian Capital Territory,2001,11,15.001666666666667,7.44,NA,NA
Australian Capital Territory,2001,12,18.803225806451614,10.793548387096774,NA,NA
Australian Capital Territory,2002,1,20.88064516129032,12.951612903225806,NA,NA
Australian Capital Territory,2002,2,18.96964285714286,13.4,NA,NA
Australian Capital Territory,2002,3,17.496774193548386,9.812903225806451,NA,NA
Australian Capital Territory,2002,4,15.13,7.886666666666667,NA,NA
Australian Capital Territory,2002,5,9.251612903225807,2.2,NA,NA
Australian Capital Territory,2002,6,7.3533333333333335,1.52,NA,NA
