OBJECTID,X,Y
1136,-79.8614073,35.9930648
1137,-79.7678874,36.0857281
1138,-79.8869606,36.0599771
1139,-79.3967521,36.0588251
1140,-77.9971484,35.3805684
1142,-76.6991799,36.4500786
1143,-77.9721143,35.5480043
1144,-83.3791459,35.1821382
1146,-79.0521563,35.0309647
1147,-79.0216751,34.9840496
1148,-78.8827158,35.0410398
1149,-78.9024727,35.1224341
1150,-78.9348812,35.0137582
1151,-78.9605311,35.0394887
1152,-77.59119,35.6028791
1153,-77.5114796,35.69699
1154,-78.2409382,35.2033758
1155,-82.3097329,35.530149
1157,-77.8627208,35.8064607
1159,-80.8477907,36.2600505
1160,-76.2178065,36.3243126
1162,-76.655315,36.226145
1164,-78.838099,35.9469271
1166,-78.6118147,35.3072682
1167,-77.3344355,35.2902338
1168,-80.7080986,36.3786653
1169,-80.1772207,35.6163053
1171,-79.7618085,35.070624
1172,-81.9824499,36.1568989
1173,-76.2178324,36.3243352
1174,-76.0762112,36.4509563
1175,-77.2296995,36.4355004
1176,-77.5076581,35.005597
1177,-82.2121555,35.2387507
1178,-80.9325913,35.2133455
1179,-78.7806239,35.7737209
1181,-82.3318661,35.9163611
1182,-77.9258336,34.5518112
1183,-81.6666801,35.2712924
1184,-76.949183,35.3701477
1185,-78.7817867,34.544834
1186,-77.7779226,34.9256947
1187,-77.3614489,35.745766
1188,-77.4807112,35.6049968
1190,-82.5839581,35.5926403
1191,-79.6591894,36.1065825
1192,-80.0064746,36.0687235
1193,-78.4405977,35.8446003
1195,-79.9010764,36.0170797
1196,-75.9444248,36.3581617
1197,-79.9609292,36.0936024
1198,-79.9273575,36.0823497
1199,-79.8923342,36.0989934
1200,-79.8306645,36.0216829
1201,-79.7616453,36.131126
1202,-79.8227439,36.1191963
1203,-79.792926,36.0419715
1204,-79.8626813,36.0369242
1205,-79.8635177,36.0916588
1206,-79.8219213,36.0487183
1207,-79.7604016,36.0868562
1208,-80.5535577,35.379345
1209,-79.8421777,36.1450599
1210,-79.8143604,36.0902447
1211,-79.7848997,36.0670175
1212,-80.6070259,35.398505
1213,-81.2525654,35.2459501
1214,-81.1890764,35.2785816
1215,-80.6197897,35.4460572
1216,-80.6308372,35.4836893
1217,-80.6063835,35.4637607
1218,-80.0863103,36.0781647
1219,-79.5057437,35.8570613
1220,-80.523508,34.9796025
1221,-81.982061,36.1580967
1222,-79.4834735,35.9766893
1223,-80.385373,36.0426136
1224,-81.3283517,35.7735725
1225,-76.6565981,34.716986
1226,-81.2790651,35.7036476
1227,-81.8769511,36.1642099
1228,-81.3879654,35.7425267
1229,-81.3126882,35.7413925
1230,-78.3114373,35.8221439
1231,-80.6293675,35.8112321
1232,-77.4015664,35.5283173
1233,-80.2552776,36.0684548
1234,-80.234844,36.1009242
1235,-80.232509,36.1274025
1238,-80.2573911,36.1448555
1239,-76.9517222,35.9964959
1240,-77.9510742,35.6836089
1242,-77.9474568,34.2385853
1243,-78.7088056,34.3464521
1245,-79.5728501,35.2711329
1246,-77.5969186,36.4273121
1247,-82.5092925,35.6945696
1249,-83.0032399,35.4711241
1251,-80.0680161,34.9709116
1252,-79.2803234,35.2553951
1253,-79.8894913,35.3643914
1255,-80.0091623,35.7492248
1256,-77.3552001,35.0634589
1257,-77.4525244,35.0872275
1258,-81.1731385,35.9212261
1259,-81.1350074,35.9150826
1260,-78.6624182,35.870641
1262,-78.8680586,34.152916
1263,-80.4826515,35.6243433
1264,-77.398021,34.7539455
1265,-79.5135137,36.1793622
1266,-79.4284718,35.8822039
1267,-76.7686379,36.2006209
1268,-77.5511348,34.695915
1269,-79.7467734,36.5115823
1270,-78.7729027,35.8187543
1271,-80.1880726,35.1975463
1273,-77.6755249,35.5355438
1274,-82.8125008,35.4191129
1275,-77.9625675,34.9641488
1277,-80.6124302,35.7130678
1278,-79.7542901,36.1492457
1279,-78.7407282,35.1620775
1280,-78.966081,35.2505837
1281,-81.3348226,35.732859500000004
1282,-79.8167673,35.7017126
1283,-79.6027198,35.9951336
1284,-81.4312295,35.5021104
1286,-81.0354205,35.5345916
1287,-78.2041228,35.5627019
1289,-79.0656293,34.9917945
1290,-80.8263267,35.6230262
1291,-80.4342992,35.6835523
1293,-80.4635397,35.5876942
1294,-78.9899077,36.3901781
1296,-80.006195,35.9503277
1298,-81.1487839,35.7124673
1299,-80.9325914,35.2133485
1300,-82.7295205,35.2398673
1301,-80.0837941,35.8750358
